Ruta,Nombre,Extension,Titulo,Bytes,Tamaño,Indice,Identificación,Año,Autor
/home/spider/Documentos/Documentos Personales y de trabajo/firma,20200721_111113_Richtone(HDR)2.png,.png,20200721_111113_Richtone(HDR)2,245099,239.35M
/home/spider/Documentos/Documentos Personales y de trabajo/Licencia Permisos Padrones,32353-c3f67-cbxr-48.pdf,.pdf,32353-c3f67-cbxr-48,71279,69.61M
/home/spider/Documentos/Documentos Personales y de trabajo/Licencia Permisos Padrones,Padron Mazda.jpg,.jpg,Padron Mazda,44753,43.7M
/home/spider/Documentos/Documentos Personales y de trabajo/Licencia Permisos Padrones,VEH_11153121_bbjk90.pdf,.pdf,VEH_11153121_bbjk90,23546,22.99M
/home/spider/Documentos/Documentos Personales y de trabajo/Licencia Permisos Padrones,Padron H1 CBXR-48 aj.jpg,.jpg,Padron H1 CBXR-48 aj,615582,601.15M
/home/spider/Documentos/Documentos Personales y de trabajo/Licencia Permisos Padrones,Padron Mazda1.png,.png,Padron Mazda1,389974,380.83M
/home/spider/Documentos/Documentos Personales y de trabajo/Licencia Permisos Padrones,Padron Mazda1.jpg,.jpg,Padron Mazda1,43704,42.68M
/home/spider/Documentos/Documentos Personales y de trabajo/Licencia Permisos Padrones,licencia.jpg,.jpg,licencia,45036,43.98M
/home/spider/Documentos/Documentos Personales y de trabajo/Licencia Permisos Padrones,Padron Mazda1.xcf,.xcf,Padron Mazda1,871027,850.61M
/home/spider/Documentos/Documentos Personales y de trabajo/Licencia Permisos Padrones,Padron H1 CBXR-48.jpg,.jpg,Padron H1 CBXR-48,1230383,1201.55M
/home/spider/Documentos/Documentos Personales y de trabajo/Licencia Permisos Padrones,permiso circulacion mazda 3.png,.png,permiso circulacion mazda 3,319615,312.12M
/home/spider/Documentos/Documentos Personales y de trabajo/CV y Certificados,Respaldo Certificado electronico.pfx,.pfx,Respaldo Certificado electronico,2772,2.71M
/home/spider/Documentos/Documentos Personales y de trabajo/CV y Certificados,Certificado_de_Microsoft.jpg,.jpg,Certificado_de_Microsoft,117938,115.17M
/home/spider/Documentos/Documentos Personales y de trabajo/CV y Certificados,Certificado_de_Orion.jpg,.jpg,Certificado_de_Orion,105200,102.73M
/home/spider/Documentos/Documentos Personales y de trabajo/CV y Certificados,Certificate.pdf,.pdf,Certificate,424344,414.4M
/home/spider/Documentos/Documentos Personales y de trabajo/CV y Certificados,DS00046 - Rodrigo Palomino.pdf,.pdf,DS00046 - Rodrigo Palomino,306689,299.5M
/home/spider/Documentos/Documentos Personales y de trabajo/CV y Certificados,CertifITIL.jpg,.jpg,CertifITIL,140963,137.66M
/home/spider/Documentos/Documentos Personales y de trabajo/CV y Certificados,NAC_12837297_8153467.pdf,.pdf,NAC_12837297_8153467,22617,22.09M
